Date,Open,High,Low,Close,Volume
03-11-1994,36.34,38.76,36.34,38.37,0
07-11-1994,38.37,38.59,38.08,38.32,0
10-11-1994,37.5,37.79,36.82,36.87,0
11-11-1994,35.95,36.68,35.8,36.12,0
15-11-1994,34.88,35.27,34.57,35.01,0
16-11-1994,35.3,36.53,35.17,36.22,0
17-11-1994,36.53,37.79,36.22,37.55,0
21-11-1994,37.3,37.5,36.58,36.65,0
22-11-1994,36.92,36.94,35.85,35.95,0
23-11-1994,36.34,36.34,35.56,35.58,0
24-11-1994,35.85,36.72,35.76,36.63,0
25-11-1994,36.92,37.21,36.63,36.77,0
29-11-1994,37.3,37.5,36.82,36.87,0
30-11-1994,37.02,37.02,36.72,36.84,0
01-12-1994,36.68,36.99,36.63,36.72,0
02-12-1994,36.51,36.53,36.1,36.26,0
05-12-1994,36.2,37.06,35.8,36.84,0
06-12-1994,36.63,36.82,35.95,36.1,0
07-12-1994,36.14,36.14,35.27,35.48,0
08-12-1994,35.22,35.22,34.79,34.98,0
09-12-1994,34.88,35.37,34.74,35.17,0
12-12-1994,34.4,34.45,33.34,33.62,0
13-12-1994,33.43,33.53,31.88,32.24,0
14-12-1994,32.27,33.19,32.2,32.61,0
15-12-1994,32.56,33.62,32.56,33.41,0
16-12-1994,33.43,33.92,33.21,33.34,0
19-12-1994,33.43,33.43,32.75,32.8,0
20-12-1994,33.14,33.14,32.7,32.9,0
21-12-1994,32.66,33.34,32.66,33.24,0
22-12-1994,33.14,33.14,32.85,32.94,0
23-12-1994,32.85,33.48,32.8,33.41,0
26-12-1994,32.85,33.41,32.8,32.85,0
27-12-1994,32.94,32.94,32.59,32.73,0
28-12-1994,32.99,32.99,32.87,32.87,0
29-12-1994,32.9,32.92,32.83,32.87,0
30-12-1994,32.85,33.09,32.85,33.06,0
02-01-1995,33.04,33.24,32.99,33.06,0
03-01-1995,33.19,33.19,32.57,32.58,0
04-01-1995,32.94,32.99,32.01,32.17,0
05-01-1995,32.17,32.27,31.03,31.13,0
06-01-1995,31.3,31.35,30.52,30.7,0
09-01-1995,30.94,30.94,28.97,29.3,0
10-01-1995,29.36,29.36,27.42,27.84,0
11-01-1995,28.1,29.07,27.13,28.61,0
